# pos_1,concentration
1.389139705019461386e-03,0.000000000000000000e+00
2.470278535103650856e-03,0.000000000000000000e+00
4.392845456035934966e-03,0.000000000000000000e+00
7.811706625951745156e-03,9.326063638145484447e+00
1.389139705019461560e-02,5.244430985084258978e+00
2.470278535103651030e-02,2.949160270021610852e+00
4.392845456035934792e-02,5.804521430549379524e+00
7.811706625951746197e-02,1.398909545721822800e+00
1.389139705019461490e-01,2.359993943287916895e+00
2.470278535103651030e-01,2.211870202516208028e+00
4.392845456035935348e-01,7.462956124992061735e-01
7.811706625951745364e-01,0.000000000000000000e+00
