# pos_1,concentration
1.389139705019461386e-03,0.000000000000000000e+00
2.470278535103650856e-03,0.000000000000000000e+00
4.392845456035934966e-03,0.000000000000000000e+00
7.811706625951745156e-03,0.000000000000000000e+00
1.389139705019461560e-02,0.000000000000000000e+00
2.470278535103651030e-02,0.000000000000000000e+00
4.392845456035934792e-02,3.174595672618615427e-03
7.811706625951746197e-02,4.463015843709750019e-02
1.389139705019461490e-01,1.917440018337510099e-01
2.470278535103651030e-01,6.542923700867149250e-01
4.392845456035935348e-01,1.745392700805715291e+00
7.811706625951745364e-01,1.057734754959210877e+00
