# pos_1,concentration
1.389139705019461386e-03,0.000000000000000000e+00
2.470278535103650856e-03,9.043107210954874908e-01
4.392845456035934966e-03,1.017062578569353226e+00
7.811706625951745156e-03,2.859681591171018278e-01
1.389139705019461560e-02,8.040585678007781123e-01
2.470278535103651030e-02,1.085172865314585344e+00
4.392845456035934792e-02,1.271328223211691366e+00
7.811706625951746197e-02,9.150981091747258933e-01
1.389139705019461490e-01,1.173925508989136057e+00
2.470278535103651030e-01,1.021871114837900940e+00
4.392845456035935348e-01,1.093342271962054912e+00
7.811706625951745364e-01,9.150981091747258933e-01
