# pos_1,concentration
1.389139705019461386e-03,0.000000000000000000e+00
2.470278535103650856e-03,9.043107210954874908e-01
4.392845456035934966e-03,0.000000000000000000e+00
7.811706625951745156e-03,5.719363182342036556e-01
1.389139705019461560e-02,4.824351406804668896e-01
2.470278535103651030e-02,7.234485768763901925e-01
4.392845456035934792e-02,9.662094496408855093e-01
7.811706625951746197e-02,1.458437611497219288e+00
1.389139705019461490e-01,1.190006680345151668e+00
2.470278535103651030e-01,9.043107210954876019e-01
4.392845456035935348e-01,1.001806639890813200e+00
7.811706625951745364e-01,9.837304673628302076e-01
