# pos_1,concentration
1.389139705019461386e-03,0.000000000000000000e+00
2.470278535103650856e-03,0.000000000000000000e+00
4.392845456035934966e-03,2.041791457982193858e+00
7.811706625951745156e-03,0.000000000000000000e+00
1.389139705019461560e-02,1.937013454289914893e+00
2.470278535103651030e-02,1.089262712796926769e+00
4.392845456035934792e-02,2.245970603780413022e+00
7.811706625951746197e-02,8.037285999708293494e-01
1.389139705019461490e-01,5.165369211439773123e-01
2.470278535103651030e-01,8.351014131443104116e-01
4.392845456035935348e-01,9.188061560919874582e-01
7.811706625951745364e-01,1.125220039959161200e+00
