# log(rho), p(log(rho))
-2.302585092994045901e+00,0.000000000000000000e+00
-2.186292916580205414e+00,0.000000000000000000e+00
-2.070000740166364483e+00,0.000000000000000000e+00
-1.953708563752523775e+00,0.000000000000000000e+00
-1.837416387338683066e+00,0.000000000000000000e+00
-1.721124210924842357e+00,0.000000000000000000e+00
-1.604832034511001648e+00,0.000000000000000000e+00
-1.488539858097160939e+00,0.000000000000000000e+00
-1.372247681683320231e+00,0.000000000000000000e+00
-1.255955505269479522e+00,0.000000000000000000e+00
-1.139663328855638813e+00,0.000000000000000000e+00
-1.023371152441798104e+00,0.000000000000000000e+00
-9.070789760279573954e-01,0.000000000000000000e+00
-7.907867996141166866e-01,0.000000000000000000e+00
-6.744946232002759778e-01,0.000000000000000000e+00
-5.582024467864352690e-01,0.000000000000000000e+00
-4.419102703725945602e-01,0.000000000000000000e+00
-3.256180939587538514e-01,0.000000000000000000e+00
-2.093259175449131426e-01,0.000000000000000000e+00
-9.303374113107221177e-02,2.711582499492579817e-04
2.325843528276827499e-02,9.942122525253972443e-01
1.395506116966087617e-01,1.981676553274170488e-04
2.558427881104496926e-01,0.000000000000000000e+00
3.721349645242906234e-01,0.000000000000000000e+00
4.884271409381311102e-01,0.000000000000000000e+00
6.047193173519715970e-01,0.000000000000000000e+00
7.210114937658125278e-01,0.000000000000000000e+00
8.373036701796534587e-01,0.000000000000000000e+00
9.535958465934939454e-01,0.000000000000000000e+00
1.069888023007334432e+00,0.000000000000000000e+00
1.186180199421175363e+00,0.000000000000000000e+00
1.302472375835016294e+00,0.000000000000000000e+00
1.418764552248856781e+00,0.000000000000000000e+00
1.535056728662697267e+00,0.000000000000000000e+00
1.651348905076538198e+00,0.000000000000000000e+00
1.767641081490379129e+00,0.000000000000000000e+00
1.883933257904219616e+00,0.000000000000000000e+00
2.000225434318060103e+00,0.000000000000000000e+00
2.116517610731901478e+00,0.000000000000000000e+00
2.232809787145741964e+00,0.000000000000000000e+00
2.349101963559582451e+00,0.000000000000000000e+00
2.465394139973422938e+00,0.000000000000000000e+00
2.581686316387263425e+00,0.000000000000000000e+00
2.697978492801104800e+00,0.000000000000000000e+00
2.814270669214945286e+00,0.000000000000000000e+00
2.930562845628785773e+00,0.000000000000000000e+00
3.046855022042627148e+00,0.000000000000000000e+00
3.163147198456467635e+00,0.000000000000000000e+00
3.279439374870308122e+00,0.000000000000000000e+00
3.395731551284148608e+00,0.000000000000000000e+00
3.512023727697989095e+00,0.000000000000000000e+00
3.628315904111830470e+00,0.000000000000000000e+00
3.744608080525670957e+00,0.000000000000000000e+00
3.860900256939511443e+00,0.000000000000000000e+00
3.977192433353352818e+00,0.000000000000000000e+00
4.093484609767193305e+00,0.000000000000000000e+00
4.209776786181033792e+00,0.000000000000000000e+00
4.326068962594874279e+00,0.000000000000000000e+00
4.442361139008714765e+00,0.000000000000000000e+00
4.558653315422556140e+00,0.000000000000000000e+00
4.674945491836396627e+00,0.000000000000000000e+00
4.791237668250237114e+00,0.000000000000000000e+00
4.907529844664078489e+00,0.000000000000000000e+00
5.023822021077918976e+00,0.000000000000000000e+00
5.140114197491759462e+00,0.000000000000000000e+00
5.256406373905599949e+00,0.000000000000000000e+00
5.372698550319440436e+00,0.000000000000000000e+00
5.488990726733281811e+00,0.000000000000000000e+00
5.605282903147122298e+00,0.000000000000000000e+00
5.721575079560962784e+00,0.000000000000000000e+00
5.837867255974804159e+00,0.000000000000000000e+00
5.954159432388643758e+00,0.000000000000000000e+00
6.070451608802485133e+00,0.000000000000000000e+00
6.186743785216326508e+00,0.000000000000000000e+00
6.303035961630166106e+00,0.000000000000000000e+00
6.419328138044007481e+00,0.000000000000000000e+00
6.535620314457848856e+00,0.000000000000000000e+00
6.651912490871688455e+00,0.000000000000000000e+00
6.768204667285529830e+00,0.000000000000000000e+00
6.884496843699369428e+00,0.000000000000000000e+00
7.000789020113210803e+00,0.000000000000000000e+00
7.117081196527052178e+00,0.000000000000000000e+00
7.233373372940891777e+00,0.000000000000000000e+00
7.349665549354733152e+00,0.000000000000000000e+00
7.465957725768572750e+00,0.000000000000000000e+00
7.582249902182414125e+00,0.000000000000000000e+00
7.698542078596255500e+00,0.000000000000000000e+00
7.814834255010095099e+00,0.000000000000000000e+00
7.931126431423936474e+00,0.000000000000000000e+00
8.047418607837776960e+00,0.000000000000000000e+00
8.163710784251616559e+00,0.000000000000000000e+00
8.280002960665459710e+00,0.000000000000000000e+00
8.396295137079299309e+00,0.000000000000000000e+00
8.512587313493138907e+00,0.000000000000000000e+00
8.628879489906982059e+00,0.000000000000000000e+00
8.745171666320821657e+00,0.000000000000000000e+00
8.861463842734661256e+00,0.000000000000000000e+00
8.977756019148504407e+00,0.000000000000000000e+00
9.094048195562344006e+00,0.000000000000000000e+00
9.210340371976183604e+00,0.000000000000000000e+00
