# pos_1,concentration
1.389139705019461386e-03,0.000000000000000000e+00
2.470278535103650856e-03,0.000000000000000000e+00
4.392845456035934966e-03,0.000000000000000000e+00
7.811706625951745156e-03,0.000000000000000000e+00
1.389139705019461560e-02,0.000000000000000000e+00
2.470278535103651030e-02,2.258656661942152685e-02
4.392845456035934792e-02,1.651176774554528048e-01
7.811706625951746197e-02,2.142749851215045576e-01
1.389139705019461490e-01,4.699331484446399032e-01
2.470278535103651030e-01,8.447375915663650758e-01
4.392845456035935348e-01,1.112639118853667064e+00
7.811706625951745364e-01,1.277078911324167176e+00
