# omega_z*kolmogorov_time,p_x
-3.937500000000000000e+00,nan
-3.812500000000000000e+00,nan
-3.687500000000000000e+00,nan
-3.562500000000000000e+00,nan
-3.437500000000000000e+00,nan
-3.312500000000000000e+00,nan
-3.187500000000000000e+00,nan
-3.062500000000000000e+00,nan
-2.937500000000000000e+00,nan
-2.812500000000000000e+00,nan
-2.687500000000000000e+00,nan
-2.562500000000000000e+00,nan
-2.437500000000000000e+00,nan
-2.312500000000000000e+00,nan
-2.187500000000000000e+00,nan
-2.062500000000000000e+00,nan
-1.937500000000000000e+00,nan
-1.812500000000000000e+00,nan
-1.687500000000000000e+00,nan
-1.562500000000000000e+00,nan
-1.437500000000000000e+00,nan
-1.312500000000000000e+00,nan
-1.187500000000000000e+00,nan
-1.062500000000000000e+00,nan
-9.375000000000000000e-01,nan
-8.125000000000000000e-01,nan
-6.875000000000000000e-01,nan
-5.625000000000000000e-01,nan
-4.375000000000000000e-01,2.376784913214737005e-01
-3.125000000000000000e-01,4.139619647731115903e-01
-1.875000000000000000e-01,5.440381610958588965e-01
-6.250000000000000000e-02,5.791303946009765946e-01
6.250000000000000000e-02,5.791303946009765946e-01
1.875000000000000000e-01,5.440381610958588965e-01
3.125000000000000000e-01,4.139619647731115903e-01
4.375000000000000000e-01,2.376784913214737005e-01
5.625000000000000000e-01,nan
6.875000000000000000e-01,nan
8.125000000000000000e-01,nan
9.375000000000000000e-01,nan
1.062500000000000000e+00,nan
1.187500000000000000e+00,nan
1.312500000000000000e+00,nan
1.437500000000000000e+00,nan
1.562500000000000000e+00,nan
1.687500000000000000e+00,nan
1.812500000000000000e+00,nan
1.937500000000000000e+00,nan
2.062500000000000000e+00,nan
2.187500000000000000e+00,nan
2.312500000000000000e+00,nan
2.437500000000000000e+00,nan
2.562500000000000000e+00,nan
2.687500000000000000e+00,nan
2.812500000000000000e+00,nan
2.937500000000000000e+00,nan
3.062500000000000000e+00,nan
3.187500000000000000e+00,nan
3.312500000000000000e+00,nan
3.437500000000000000e+00,nan
3.562500000000000000e+00,nan
3.687500000000000000e+00,nan
3.812500000000000000e+00,nan
3.937500000000000000e+00,nan
