# pos_1,concentration
1.389139705019461386e-03,2.569771182691287663e+02
2.470278535103650856e-03,0.000000000000000000e+00
4.392845456035934966e-03,0.000000000000000000e+00
7.811706625951745156e-03,0.000000000000000000e+00
1.389139705019461560e-02,0.000000000000000000e+00
2.470278535103651030e-02,0.000000000000000000e+00
4.392845456035934792e-02,0.000000000000000000e+00
7.811706625951746197e-02,0.000000000000000000e+00
1.389139705019461490e-01,0.000000000000000000e+00
2.470278535103651030e-01,1.445088532310589091e+00
4.392845456035935348e-01,8.126330002769133198e-01
7.811706625951745364e-01,9.139542365382574696e-01
