# pos_1,concentration
1.389139705019461386e-03,0.000000000000000000e+00
2.470278535103650856e-03,0.000000000000000000e+00
4.392845456035934966e-03,0.000000000000000000e+00
7.811706625951745156e-03,2.296367428488084172e+00
1.389139705019461560e-02,0.000000000000000000e+00
2.470278535103651030e-02,1.815437854661544614e+00
4.392845456035934792e-02,6.125374373946581574e-01
7.811706625951746197e-02,8.037285999708293494e-01
1.389139705019461490e-01,9.039396120019602687e-01
2.470278535103651030e-01,1.125571469890157550e+00
4.392845456035935348e-01,1.102567387310384950e+00
7.811706625951745364e-01,9.529924828225548872e-01
