# pos_1,concentration
1.389139705019461386e-03,0.000000000000000000e+00
2.470278535103650856e-03,0.000000000000000000e+00
4.392845456035934966e-03,0.000000000000000000e+00
7.811706625951745156e-03,0.000000000000000000e+00
1.389139705019461560e-02,0.000000000000000000e+00
2.470278535103651030e-02,2.258656661942152685e-02
4.392845456035934792e-02,0.000000000000000000e+00
7.811706625951746197e-02,1.285649910729027290e-01
1.389139705019461490e-01,2.691070166306911982e-01
2.470278535103651030e-01,4.494726757264883577e-01
4.392845456035935348e-01,8.509911068857953786e-01
7.811706625951745364e-01,1.602776888708854042e+00
