# pos_1,concentration
1.389139705019461386e-03,0.000000000000000000e+00
2.470278535103650856e-03,0.000000000000000000e+00
4.392845456035934966e-03,0.000000000000000000e+00
7.811706625951745156e-03,0.000000000000000000e+00
1.389139705019461560e-02,0.000000000000000000e+00
2.470278535103651030e-02,0.000000000000000000e+00
4.392845456035934792e-02,0.000000000000000000e+00
7.811706625951746197e-02,2.859681591171018417e-02
1.389139705019461490e-01,1.608117135601556391e-01
2.470278535103651030e-01,1.718190370081426332e-01
4.392845456035935348e-01,4.322515958919752044e-01
7.811706625951745364e-01,1.956022208360976400e+00
