# pos_1,concentration
1.389139705019461386e-03,0.000000000000000000e+00
2.470278535103650856e-03,0.000000000000000000e+00
4.392845456035934966e-03,0.000000000000000000e+00
7.811706625951745156e-03,0.000000000000000000e+00
1.389139705019461560e-02,0.000000000000000000e+00
2.470278535103651030e-02,9.034626647768610741e-02
4.392845456035934792e-02,3.810407941279680272e-02
7.811706625951746197e-02,1.071374925607522788e-01
1.389139705019461490e-01,2.369748355404594220e-01
2.470278535103651030e-01,3.433158126152072165e-01
4.392845456035935348e-01,7.697024041384956661e-01
7.811706625951745364e-01,1.685629882955836045e+00
