# pos_1,concentration
1.389139705019461386e-03,0.000000000000000000e+00
2.470278535103650856e-03,0.000000000000000000e+00
4.392845456035934966e-03,0.000000000000000000e+00
7.811706625951745156e-03,0.000000000000000000e+00
1.389139705019461560e-02,0.000000000000000000e+00
2.470278535103651030e-02,0.000000000000000000e+00
4.392845456035934792e-02,5.085312892846765437e-02
7.811706625951746197e-02,5.719363182342036833e-02
1.389139705019461490e-01,2.733799130522645560e-01
2.470278535103651030e-01,5.697157542901571947e-01
4.392845456035935348e-01,9.356975722838050125e-01
7.811706625951745364e-01,1.521350606502981595e+00
